MedCodeId,Term,history,postpartum
2729691000000120,Cataleptic schizophrenia,1,
11912191000006100,[V]Personal history of schizophrenia,,
11918351000006100,"[X] Manic-depressive psychosis, depressed type without psychotic symptoms",,
12059211000006100,"Bipolar disorder, most recent episode manic",,
12059241000006100,"Bipolar I disorder, most recent episode manic",,
12480451000006100,"[X]Schizophrenia, schizotypal and delusional disorders",,
12481991000006100,Acute exacerbation of subchronic hebephrenic schizophrenia,,
12482001000006100,Acute exacerbation of subchronic schizophrenia,,
4763611000006110,Acute exacerbation of subchronic disorganised schizophrenia,,
4763631000006110,Acute exacerbation of subchronic disorganized schizophrenia,,
4763641000006120,Acute exacerbation of chronic disorganised schizophrenia,,
4763661000006120,Acute exacerbation of chronic disorganized schizophrenia,,
4763911000006110,Acute exacerbation of subchronic schizoaffective schizophrenia,,
4763921000006120,Acute exacerbation of chronic schizoaffective schizophrenia,,
7696261000006110,Acute polymorphic psychotic disorder with symptoms of schizophrenia,,
2522281000006110,"Bipolar I disorder, single manic episode with postpartum onset",,
2555231000006110,"Bipolar I disorder, single manic episode, in full remission",1,
2555241000006110,"Bipolar 1 disorder, single manic episode, full remission",1,
2648981000006120,"Bipolar I disorder, single manic episode",,
2648991000006120,"Bipolar 1 disorder, single manic episode",,
2782051000006110,"Bipolar I disorder, most recent episode manic with catatonic features",,
2998711000006120,"Bipolar I disorder, most recent episode manic, in full remission",1,
3006671000006120,"Bipolar I disorder, most recent episode hypomanic",,
3233861000006120,"Bipolar I disorder, most recent episode manic, in remission",1,
3291871000006110,"Bipolar II disorder, most recent episode hypomanic",,
3401501000006110,"Bipolar I disorder, most recent episode manic with postpartum onset",,1
3528681000006110,"Bipolar I disorder, most recent episode manic, in partial remission",,
3615771000006110,"Bipolar I disorder, most recent episode manic",,
3725431000006120,"Bipolar I disorder, single manic episode, in remission",1,
3725441000006110,"Bipolar 1 disorder, single manic episode, in remission",1,
3773101000006120,"Bipolar I disorder, single manic episode, in partial remission",,
3773111000006110,"Bipolar 1 disorder, single manic episode, in partial remission",,
2705561000006110,Chronic disorganised schizophrenia,,
2705571000006120,Chronic disorganized schizophrenia,,
2976051000006110,Chronic undifferentiated schizophrenia,,
2988481000006120,Chronic residual schizophrenia with acute exacerbations,,
3067411000006110,Chronic disorganised schizophrenia with acute exacerbations,,
3067421000006120,Chronic disorganized schizophrenia with acute exacerbations,,
3656651000006110,Chronic residual schizophrenia,,
3788101000006120,Chronic undifferentiated schizophrenia with acute exacerbations,,
3862661000006110,Chronic schizophrenia,,
4763751000006110,Chronic catatonic schizophrenia with acute exacerbation,,
4763791000006120,Chronic paranoid schizophrenia with acute exacerbation,,
3005591000006110,Disorganised schizophrenia in remission,1,
3005601000006120,Disorganized schizophrenia in remission,1,
3005611000006110,"Disorganized schizophrenia, in remission",1,
3068121000006110,Disorganised schizophrenia,,
3068131000006110,Disorganized schizophrenia,,
4539931000006110,History of schizophrenia,1,
6647221000006110,History of manic depressive disorder,1,
4763861000006120,"Latent schizophrenia, in remission",,
6890801000006120,Late onset schizophrenia,,
2998701000006120,Manic bipolar I disorder in full remission,,
3233851000006110,Manic bipolar I disorder in remission,,
3615761000006120,Manic bipolar I disorder,,
5023961000006110,Manic,,
5023971000006120,Manic stupor,,
7860821000006110,Manic symptoms co-occurrent and due to primary psychotic disorder,,
7860831000006110,Manic symptoms with primary psychotic disorder,,
2717981000006120,MDI - Manic-depressive illness,,
3169541000006110,"Mild bipolar I disorder, single manic episode",,
3671041000006110,Mild manic bipolar I disorder,,
3671051000006110,"Mild bipolar I disorder, most recent episode manic",,
5517971000006120,Mixed schizophrenic and affective psychosis,,
2964521000006110,"Moderate bipolar I disorder, single manic episode",,
3850471000006110,Moderate manic bipolar I disorder,,
3850481000006110,"Moderate bipolar I disorder, most recent episode manic",,
8008581000006120,Mood disorder of manic type,,
3527411000006120,"Paranoid schizophrenia, in remission",1,
3555731000006110,Paraphrenic schizophrenia,,
5023901000006110,Post-schizophrenic depression,1,
3328681000006110,Residual schizophrenia in remission,1,
3328691000006110,"Residual schizophrenia, in remission",1,
8237821000006120,"Recurrent manic episodes, in remission",1,
2577941000006120,"Schizophrenia, in remission",1,
4196171000006120,"Schizophrenia, catatonic, in remission",1,
4763691000006110,"Schizophrenia, catatonic",,
4763701000006110,Schizophrenic flexibilatis cerea,,
4763941000006110,"Schizoaffective schizophrenia, in remission",1,
4763951000006110,"Schizophrenia, schizoaffective, in remission",1,
5524571000006110,"Schizophreniform psychosis, manic type",,
2501011000006120,"Severe bipolar I disorder, most recent episode manic, without psychotic features",,
2715201000006110,"Severe bipolar I disorder, single manic episode with psychotic features, mood-congruent",,
2729641000006120,"Severe bipolar I disorder, single manic episode without psychotic features",,
2960491000006120,Severe manic bipolar I disorder with psychotic features,,
2960501000006110,"Severe bipolar I disorder, most recent episode manic, with psychotic features",,
3037071000006120,"Severe manic bipolar I disorder with psychotic features, mood-incongruent",,
3037081000006120,"Severe bipolar I disorder, most recent episode manic, with psychotic features, mood-incongruent",,
3174001000006110,"Severe bipolar I disorder, single manic episode with psychotic features",,
3779041000006120,"Severe manic bipolar I disorder with psychotic features, mood-congruent",,
3779051000006120,"Severe bipolar I disorder, most recent episode manic, with psychotic features, mood-congruent",,
3898991000006110,"Severe bipolar I disorder, single manic episode with psychotic features, mood-incongruent",,
8011471000006110,Severe manic bipolar I disorder,,
8237871000006120,Single manic episode in remission,1,
2611981000006120,Subchronic undifferentiated schizophrenia with acute exacerbations,,
2726261000006110,Subchronic disorganised schizophrenia with acute exacerbations,,
2726271000006120,Subchronic disorganized schizophrenia with acute exacerbations,,
2938951000006110,Subchronic disorganised schizophrenia,,
2938961000006110,Subchronic disorganized schizophrenia,,
3651771000006120,Subchronic residual schizophrenia with acute exacerbations,,
3745281000006120,Subchronic residual schizophrenia,,
3895621000006110,Subchronic undifferentiated schizophrenia,,
4196151000006110,Subchronic schizophrenia with acute exacerbations,,
4763731000006120,Subchronic catatonic schizophrenia with acute exacerbation,,
4763771000006120,Subchronic paranoid schizophrenia with acute exacerbation,,
4763891000006110,Subchronic schizoaffective schizophrenia,,
3137261000006110,Undifferentiated schizophrenia in remission,,
3137271000006120,"Undifferentiated schizophrenia, in remission",,
251628010,H/O: schizophrenia,1,
1780205015,H/O: manic depressive disorder,1,
2157096015,Manic mood,,
996171000006114,"Psychosis, schizophrenia and bipolar affective disorder resolved",,
492821000000113,Schizophrenia resolved,,
294725013,Schizophrenic disorders,,
882281000006113,Schizophrenic psychoses NOS,,
