medcodeid,term,timing,diagnosis,diagnostic,symptom,ref_th,other
30729012,Hypochondriasis,0,anxiety,1,,,
33475016,Claustrophobia,0,anxiety,1,,,
51590017,Dysphoric mood,0,depression,,1,,
65032014,Dental phobia,0,anxiety,1,,,
90724016,Simple phobia,0,anxiety,1,,,
97986013,Acrophobia,0,anxiety,1,,,
130538010,Nervous breakdown,0,anxiety,,1,,
138421012,Agitated depression,0,depression,1,,,
166341019,Fear of death,0,anxiety,,1,,
251629019,H/O: depression,0,depression,1,,,
251630012,H/O: anxiety state,0,anxiety,1,,,
253620013,O/E - anxious,0,anxiety,,1,,
253621012,O/E - nervous,0,anxiety,,1,,
294824018,"Single major depressive episode, unspecified",0,depression,1,,,
294825017,"Single major depressive episode, mild",0,depression,1,,,
294826016,"Single major depressive episode, moderate",0,depression,1,,,
294828015,"Single major depressive episode, severe, with psychosis",0,depression,1,,,
294831019,"Single major depressive episode, in full remission",0,depression,1,,,
294832014,Single major depressive episode NOS,0,depression,1,,,
294836012,"Recurrent major depressive episodes, unspecified",0,depression,1,,,
294837015,"Recurrent major depressive episodes, mild",0,depression,1,,,
294838013,"Recurrent major depressive episodes, moderate",0,depression,1,,,
294840015,"Recurrent major depressive episodes, severe, with psychosis",0,depression,1,,,
294843018,"Recurrent major depressive episodes, in full remission",0,depression,1,,,
294844012,Recurrent depression,0,depression,1,,,
294845013,Recurrent major depressive episode NOS,0,depression,1,,,
294894013,Atypical depressive disorder,0,depression,1,,,
294917018,Reactive depressive psychosis,0,depression,1,,,
294918011,Psychotic reactive depression,0,depression,1,,,
294953016,Anxiety state unspecified,0,anxiety,,1,,
294960010,Chronic anxiety,0,anxiety,1,,,
294961014,Recurrent anxiety,0,anxiety,1,,,
294963012,Anxiety state NOS,0,anxiety,,1,,
294991016,Phobia unspecified,0,anxiety,1,,,
294992011,Agoraphobia with panic attacks,0,anxiety,1,,,
294993018,Agoraphobia without mention of panic attacks,0,anxiety,1,,,
294994012,"Social phobia, fear of eating in public",0,anxiety,1,,,
294995013,"Social phobia, fear of public speaking",0,anxiety,1,,,
294996014,"Social phobia, fear of public washing",0,anxiety,1,,,
294998010,Fear of crowds,0,anxiety,,1,,
295004011,Fear of pregnancy,0,anxiety,,1,,
295011010,Anancastic neurosis,0,anxiety,,,,1
295015018,Compulsive neurosis,0,anxiety,,,,1
295016017,Obsessional neurosis,0,anxiety,,,,1
295017014,Obsessive-compulsive disorder NOS,0,anxiety,1,,,
295026012,Other neurotic disorders,0,anxiety,,,,1
295033012,Other neurotic disorder NOS,0,anxiety,,,,1
295063015,Compulsive personality disorder NOS,0,anxiety,1,,,
295474019,Acute panic state due to acute stress reaction,0,anxiety,,1,,
295494011,Brief depressive reaction NOS,0,depression,,1,,
295535012,Depressive disorder NEC,0,depression,1,,,
295536013,Postviral depression,0,depression,1,,,
295537016,Chronic depression,0,depression,1,,,
295572018,Neurotic delinquency,0,anxiety,,,,1
295584016,Childhood and adolescent fearfulness disturbance,1,anxiety,1,,,
296137015,[X]Mild depressive episode,0,depression,1,,,
296138013,[X]Moderate depressive episode,0,depression,1,,,
296180012,"[X]Recurrent depressive disorder, current episode mild",0,depression,1,,,
296181011,"[X]Recurrent depressive disorder, current episode moderate",0,depression,1,,,
296198011,"[X]Recurrent depressive disorder, currently in remission",0,depression,1,,,
296199015,[X]Other recurrent depressive disorders,0,depression,1,,,
296224013,[X]Phobic anxiety disorders,0,anxiety,1,,,
296236019,[X]Other phobic anxiety disorders,0,anxiety,1,,,
296237011,"[X]Phobic anxiety disorder, unspecified",0,anxiety,1,,,
296238018,[X]Other anxiety disorders,0,anxiety,1,,,
296239014,[X]Panic disorder [episodic paroxysmal anxiety],0,anxiety,1,,,
296245018,[X]Other mixed anxiety disorders,0,mixed,1,,,
296249012,"[X]Anxiety disorder, unspecified",0,anxiety,1,,,
296251011,[X]Predominantly obsessional thoughts or ruminations,0,anxiety,,1,,
296252016,[X]Predominantly compulsive acts [obsessional rituals],0,anxiety,,1,,
296253014,[X]Mixed obsessional thoughts and acts,0,anxiety,,1,,
296254015,[X]Other obsessive-compulsive disorders,0,anxiety,1,,,
296255019,"[X]Obsessive-compulsive disorder, unspecified",0,anxiety,1,,,
296341013,[X]Other neurotic disorders,0,anxiety,,,,1
296358015,"[X]Neurotic disorder, unspecified",0,anxiety,,,,1
296722013,[X]Separation anxiety disorder of childhood,0,anxiety,1,,,
304838011,Anxiety state,0,anxiety,,1,,
339044013,Panic attack,0,anxiety,,1,,
346972018,Endogenous depression first episode,0,depression,1,,,
346973011,Masked depression,0,depression,1,,,
346984016,Stage fright,0,anxiety,,1,,
346985015,Examination fear,0,anxiety,,1,,
369915018,Loss of interest,0,depression,,1,,
369972011,Loss of capacity for enjoyment,0,depression,,1,,
369974012,Loss of hope for the future,0,depression,,1,,
369982012,Seasonal affective disorder,0,depression,1,,,
370048011,Fear of flying,0,anxiety,,1,,
370049015,Flying phobia,0,anxiety,1,,,
401766011,Single major depressive episode,0,depression,1,,,
401780016,Phobic disorder NOS,0,anxiety,1,,,
401783019,Neurotic disorder NOS,0,anxiety,,,,1
401785014,Psychoneurotic personality disorder,0,anxiety,,,,1
401866015,[X]Severe depressive episode without psychotic symptoms,0,depression,1,,,
401869010,[X]Severe depressive episode with psychotic symptoms,0,depression,1,,,
401871010,[X]Other depressive episodes,0,depression,1,,,
401872015,"[X]Depressive episode, unspecified",0,depression,1,,,
401873013,[X]Recurrent depressive disorder,0,depression,1,,,
401876017,"[X]Recurrent depressive disorder, unspecified",0,depression,1,,,
401881014,[X]Other specified anxiety disorders,0,anxiety,1,,,
401888015,[X]Other specified neurotic disorders,0,anxiety,,,,1
402503018,"Neurotic condition, insight present",0,anxiety,,,,1
402505013,Poor insight into neurotic condition,0,anxiety,,,,1
407066012,C/O - feeling unhappy,0,depression,,1,,
410861011,Endogenous depression - recurrent,0,depression,1,,,
412299019,Fear of water,1,anxiety,,1,,
441512015,Separation anxiety disorder,0,anxiety,1,,,
441826016,Endogenous depression,0,depression,1,,,
442663013,Fearful with pain,0,anxiety,,1,,
460275012,[V]Personal history of neurosis,0,anxiety,,,,1
475487017,Obsessional personality,0,anxiety,1,,,
481154010,Generalised anxiety disorder,0,anxiety,1,,,
485870016,Cancer phobia,0,anxiety,1,,,
1210253015,Panic disorder,0,anxiety,1,,,
1222256015,[X]Neurosis NOS,0,anxiety,,,,1
1222477019,[D]Postoperative depression,0,depression,1,,,
1230451012,Adjustment reaction with anxious mood,0,anxiety,,1,,
1231321013,Animal phobia,0,anxiety,1,,,
1231868010,Puerperal depression,3,depression,1,,,
1488626018,Symptoms of depression,0,depression,,1,,
1488771018,Postnatal depression counselling,3,depression,,,1,
1494612017,Depressive symptoms,0,depression,,1,,
1773563015,Depression management programme,0,depression,,,1,
1780506015,HAD scale: anxiety score,0,anxiety,,,,1
2164005017,Depressed mood,0,depression,,1,,
2164009011,Low mood,0,depression,,1,,
2474715017,On depression register,0,depression,,,,1
2533375017,Patient given advice about management of depression,0,depression,,,,1
2533632018,H/O: agoraphobia,0,anxiety,1,,,
2534091015,Depression interim review,0,depression,,,,1
2534092010,Depression medication review,0,depression,,,,1
2534096013,Depression annual review,0,depression,,,,1
2548573012,Loss of interest in previously enjoyable activity,0,depression,,1,,
2549835014,O/E - fearful mood,0,anxiety,,1,,
2549895012,O/E - panic attack,0,anxiety,,1,,
138401000006119,Social phobic disorders,0,anxiety,1,,,
142521000006110,"Single major depressive episode, partial or unspec remission",0,depression,1,,,
142541000006115,"Single major depressive episode, severe, without psychosis",0,depression,1,,,
182721000006111,Recurrent major depressive episode,0,depression,1,,,
182771000006112,"Recurrent major depressive episodes, severe, no psychosis",0,depression,1,,,
182801000006114,"Recurrent major depressive episodes,partial/unspec remission",0,depression,1,,,
202561000006114,Prolonged depressive reaction,0,depression,,1,,
213641000000111,[X]Mild depression,0,depression,1,,,
223631000000113,Phobic disorders,0,anxiety,1,,,
223641000000116,Phobic anxiety,0,anxiety,1,,,
223651000000118,Postnatal depression,3,depression,1,,,
223741000000112,[X]Single episode major depression w'out psychotic symptoms,0,depression,1,,,
226411000000110,Depression - enhanced services administration,0,depression,,,,1
226581000000119,Depression - enhanced service completed,0,depression,,,,1
269821000006113,Obsessive-compulsive disorders,0,anxiety,1,,,
294081000000110,Exception reporting: depression quality indicators,0,depression,,,,1
294621000000118,Depression resolved,0,depression,1,,,
300711000000119,Referral for guided self-help for depression,0,depression,,,1,
359121000006116,[X] Reactive depression NOS,0,depression,1,,,
362181000006117,[X]Acrophobia,0,anxiety,1,,,
362871000006111,[X]Agoraphobia,0,anxiety,1,,,
362881000006114,[X]Agoraphobia without history of panic disorder,0,anxiety,1,,,
363221000006116,[X]Anankastic personality disorder,0,anxiety,1,,,
363281000006117,[X]Animal phobias,0,anxiety,1,,,
363361000006117,[X]Anthropophobia,0,anxiety,1,,,
363641000006114,[X]Anxiety hysteria,0,anxiety,1,,,
363651000006111,[X]Anxiety neurosis,0,anxiety,,,,1
363661000006113,[X]Anxiety NOS,0,anxiety,1,,,
363671000006118,[X]Anxiety reaction,0,anxiety,,1,,
363681000006115,[X]Anxiety state,0,anxiety,,1,,
363691000006117,[X]Anxious [avoidant] personality disorder,0,anxiety,1,,,
366561000006119,[X]Atypical depression,0,depression,1,,,
367931000006118,[X]Body dysmorphic disorder,0,anxiety,1,,,
370861000006110,[X]Childhood overanxious disorder,0,anxiety,1,,,
371071000006117,[X]Claustrophobia,0,anxiety,1,,,
371341000006110,[X]Compulsive personality disorder,0,anxiety,1,,,
371371000006119,[X]Conduct disorder associated with neurotic disorder,0,anxiety,1,,,
376501000006110,[X]Delusional dysmorphophobia,0,anxiety,1,,,
376691000006116,[X]Depression NOS,0,depression,1,,,
376701000006116,[X]Depressive conduct disorder,0,depression,1,,,
376711000006118,[X]Depressive disorder NOS,0,depression,1,,,
376721000006114,[X]Depressive episode,0,depression,1,,,
376741000006119,[X]Depressive neurosis,0,mixed,,,,1
376741000006119,[X]Depressive neurosis,0,mixed,,,,1
376751000006117,[X]Depressive personality disorder,0,depression,1,,,
376991000006113,[X]Dhat syndrome,0,anxiety,1,,,
378291000006117,[X]Dream anxiety disorder,0,anxiety,1,,,
379771000006116,[X]Endogenous depression with psychotic symptoms,0,depression,1,,,
379781000006118,[X]Endogenous depression without psychotic symptoms,0,depression,1,,,
388071000006116,[X]Generalized anxiety disorder,0,anxiety,1,,,
389371000006113,[X]Hypochondriacal disorder,0,anxiety,1,,,
389391000006114,[X]Hypochondriasis,0,anxiety,1,,,
396081000006116,"[X]Major depression, recurrent without psychotic symptoms",0,depression,1,,,
